game_id,date,white,black,white_elo,black_elo,result,opening,eco,move_number,player_to_move,move_san,fen_before,time_remaining,best_move,eval_before,eval_after,centipawn_loss
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,18,black,e4,r1b1kb1r/ppp2ppp/8/3qp3/8/P4N2/1PPP1PPP/R1BQ1RK1 b kq - 1 9,0:02:43,e5e4,116.0,-107.0,223.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,19,white,Ne1,r1b1kb1r/ppp2ppp/8/3q4/4p3/P4N2/1PPP1PPP/R1BQ1RK1 w kq - 0 10,0:02:51,d1e2,-106.0,147.0,-253.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,20,black,Be6,r1b1kb1r/ppp2ppp/8/3q4/4p3/P7/1PPP1PPP/R1BQNRK1 b kq - 1 10,0:02:38,f8d6,142.0,-112.0,254.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,21,white,d3,r3kb1r/ppp2ppp/4b3/3q4/4p3/P7/1PPP1PPP/R1BQNRK1 w kq - 2 11,0:02:47,d1e2,-109.0,115.0,-224.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,22,black,exd3,r3kb1r/ppp2ppp/4b3/3q4/4p3/P2P4/1PP2PPP/R1BQNRK1 b kq - 0 11,0:02:36,e8c8,125.0,-48.0,173.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,23,white,Nxd3,r3kb1r/ppp2ppp/4b3/3q4/8/P2p4/1PP2PPP/R1BQNRK1 w kq - 0 12,0:02:47,e1d3,-56.0,50.0,-106.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,24,black,O-O-O,r3kb1r/ppp2ppp/4b3/3q4/8/P2N4/1PP2PPP/R1BQ1RK1 b kq - 0 12,0:02:33,e8c8,43.0,-45.0,88.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,25,white,Qe2,2kr1b1r/ppp2ppp/4b3/3q4/8/P2N4/1PP2PPP/R1BQ1RK1 w - - 1 13,0:02:43,c1f4,-39.0,87.0,-126.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,26,black,Qd7,2kr1b1r/ppp2ppp/4b3/3q4/8/P2N4/1PP1QPPP/R1B2RK1 b - - 2 13,0:02:29,d5f5,98.0,-14.0,112.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,27,white,Be3,2kr1b1r/pppq1ppp/4b3/8/8/P2N4/1PP1QPPP/R1B2RK1 w - - 3 14,0:02:41,f1e1,-19.0,33.0,-52.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,28,black,Kb8,2kr1b1r/pppq1ppp/4b3/8/8/P2NB3/1PP1QPPP/R4RK1 b - - 4 14,0:02:25,d7b5,28.0,-4.0,32.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,29,white,Rfd1,1k1r1b1r/pppq1ppp/4b3/8/8/P2NB3/1PP1QPPP/R4RK1 w - - 5 15,0:02:41,a1d1,5.0,11.0,-6.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,30,black,Bd6,1k1r1b1r/pppq1ppp/4b3/8/8/P2NB3/1PP1QPPP/R2R2K1 b - - 6 15,0:02:22,d7e8,8.0,12.0,-4.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,31,white,Nc5,1k1r3r/pppq1ppp/3bb3/8/8/P2NB3/1PP1QPPP/R2R2K1 w - - 7 16,0:02:36,d3c5,4.0,-4.0,8.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,32,black,Qe7,1k1r3r/pppq1ppp/3bb3/2N5/8/P3B3/1PP1QPPP/R2R2K1 b - - 8 16,0:02:17,d7e7,-4.0,0.0,-4.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,33,white,Nxe6,1k1r3r/ppp1qppp/3bb3/2N5/8/P3B3/1PP1QPPP/R2R2K1 w - - 9 17,0:02:28,c5b7,0.0,7.0,-7.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,34,black,Qxe6,1k1r3r/ppp1qppp/3bN3/8/8/P3B3/1PP1QPPP/R2R2K1 b - - 0 17,0:02:12,e7e6,6.0,-11.0,17.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,35,white,b4,1k1r3r/ppp2ppp/3bq3/8/8/P3B3/1PP1QPPP/R2R2K1 w - - 0 18,0:02:25,d1e1,-2.0,10.0,-12.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,36,black,Rhg8,1k1r3r/ppp2ppp/3bq3/8/1P6/P3B3/2P1QPPP/R2R2K1 b - - 0 18,0:02:07,a7a6,6.0,17.0,-11.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,37,white,c4,1k1r2r1/ppp2ppp/3bq3/8/1P6/P3B3/2P1QPPP/R2R2K1 w - - 1 19,0:02:23,g2g3,25.0,24.0,1.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,38,black,g6,1k1r2r1/ppp2ppp/3bq3/8/1PP5/P3B3/4QPPP/R2R2K1 b - - 0 19,0:02:02,d6f4,17.0,27.0,-10.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,39,white,c5,1k1r2r1/ppp2p1p/3bq1p1/8/1PP5/P3B3/4QPPP/R2R2K1 w - - 0 20,0:02:22,d1e1,19.0,11.0,8.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,40,black,Be5,1k1r2r1/ppp2p1p/3bq1p1/2P5/1P6/P3B3/4QPPP/R2R2K1 b - - 0 20,0:01:59,d6f4,1.0,18.0,-17.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,41,white,Rab1,1k1r2r1/ppp2p1p/4q1p1/2P1b3/1P6/P3B3/4QPPP/R2R2K1 w - - 1 21,0:02:20,a1b1,11.0,1.0,10.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,42,black,h5,1k1r2r1/ppp2p1p/4q1p1/2P1b3/1P6/P3B3/4QPPP/1R1R2K1 b - - 2 21,0:01:57,b8c8,2.0,10.0,-8.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,43,white,b5,1k1r2r1/ppp2p2/4q1p1/2P1b2p/1P6/P3B3/4QPPP/1R1R2K1 w - - 0 22,0:02:19,e2c2,9.0,6.0,3.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,44,black,a6,1k1r2r1/ppp2p2/4q1p1/1PP1b2p/8/P3B3/4QPPP/1R1R2K1 b - - 0 22,0:01:53,e5f4,10.0,251.0,-241.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,45,white,bxa6,1k1r2r1/1pp2p2/p3q1p1/1PP1b2p/8/P3B3/4QPPP/1R1R2K1 w - - 0 23,0:02:17,d1d8,244.0,-252.0,496.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,46,black,Qxa6,1k1r2r1/1pp2p2/P3q1p1/2P1b2p/8/P3B3/4QPPP/1R1R2K1 b - - 0 23,0:01:52,d8d1,-260.0,659.0,-919.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,47,white,Qc2,1k1r2r1/1pp2p2/q5p1/2P1b2p/8/P3B3/4QPPP/1R1R2K1 w - - 0 24,0:02:06,d1d8,671.0,-35.0,706.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,48,black,Qxa3,1k1r2r1/1pp2p2/q5p1/2P1b2p/8/P3B3/2Q2PPP/1R1R2K1 b - - 1 24,0:01:46,a6c6,-37.0,180.0,-217.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,49,white,Rxd8+,1k1r2r1/1pp2p2/6p1/2P1b2p/8/q3B3/2Q2PPP/1R1R2K1 w - - 0 25,0:01:54,d1c1,163.0,18.0,145.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,50,black,Rxd8,1k1R2r1/1pp2p2/6p1/2P1b2p/8/q3B3/2Q2PPP/1R4K1 b - - 0 25,0:01:44,g8d8,6.0,-5.0,11.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,51,white,h3,1k1r4/1pp2p2/6p1/2P1b2p/8/q3B3/2Q2PPP/1R4K1 w - - 0 26,0:01:50,c2e4,-10.0,158.0,-168.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,52,black,Re8,1k1r4/1pp2p2/6p1/2P1b2p/8/q3B2P/2Q2PP1/1R4K1 b - - 0 26,0:01:28,a3d3,142.0,253.0,-111.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,53,white,c6,1k2r3/1pp2p2/6p1/2P1b2p/8/q3B2P/2Q2PP1/1R4K1 w - - 1 27,0:01:46,c2c4,278.0,-13.0,291.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,54,black,b6,1k2r3/1pp2p2/2P3p1/4b2p/8/q3B2P/2Q2PP1/1R4K1 b - - 0 27,0:01:25,b7b6,-40.0,53.0,-93.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,55,white,Bxb6,1k2r3/2p2p2/1pP3p1/4b2p/8/q3B2P/2Q2PP1/1R4K1 w - - 0 28,0:01:36,c2d1,63.0,248.0,-185.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,56,black,Bb2,1k2r3/2p2p2/1BP3p1/4b2p/8/q6P/2Q2PP1/1R4K1 b - - 0 28,0:01:11,c7b6,271.0,592.0,-321.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,57,white,Qxb2,1k2r3/2p2p2/1BP3p1/7p/8/q6P/1bQ2PP1/1R4K1 w - - 1 29,0:01:25,b6c5,710.0,-67.0,777.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,58,black,Qxb2,1k2r3/2p2p2/1BP3p1/7p/8/q6P/1Q3PP1/1R4K1 b - - 0 29,0:01:07,a3b2,-27.0,30.0,-57.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,59,white,Rxb2,1k2r3/2p2p2/1BP3p1/7p/8/7P/1q3PP1/1R4K1 w - - 0 30,0:01:25,b1b2,9.0,-1.0,10.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,60,black,cxb6,1k2r3/2p2p2/1BP3p1/7p/8/7P/1R3PP1/6K1 b - - 0 30,0:01:06,c7b6,-3.0,8.0,-11.0
vjvRbZTO,2025.08.13,Bbadd13,Sherafkan_nematov,1479,1474,1/2-1/2,Four Knights Game: Italian Variation,C47,61,white,Rxb6+,1k2r3/5p2/1pP3p1/7p/8/7P/1R3PP1/6K1 w - - 0 31,0:01:21,b2b6,3.0,0.0,3.0
